Car Name,Brand,Price,Mileage,Dealer,Year
Maserati Grecale,Maserati,86065,19,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,77900,299,Ferrari of Central Florida/ FL,2025
Maserati Quattroporte Modena,Maserati,182613,42193,Ferrari of Central Florida/ FL,2022
Maserati Grecale,Maserati,84915,995,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,80850,103,Ferrari of Central Florida/ FL,2025
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Grecale,Maserati,98505,14530,Ferrari of Atlanta,2025
Maserati Levante Modena,Maserati,88687,5,Criswell Automotive,2024
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Mistral,Maserati,67500,14530,Gullwing Motor Cars,1967
Maserati Mistral,Maserati,56500,14530,Gullwing Motor Cars,1967
Maserati Grecale,Maserati,77900,11,Ferrari of Central Florida/ FL,2025
Maserati Levante S,Maserati,39995,33829,Ferrari of Central Florida/ FL,2021
Maserati MC20,Maserati,179995,3625,Ferrari of Central Florida/ FL,2022
Maserati Grecale,Maserati,182613,19,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,74895,1129,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,86175,18,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,81550,81,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,97055,4653,Ferrari of Central Florida/ FL,2025
Maserati Levante,Maserati,182613,30822,Ferrari of Central Florida/ FL,2022
Maserati Grecale,Maserati,77900,14,Ferrari of Central Florida/ FL,2025
Maserati Levante,Maserati,39895,31419,Ferrari of Central Florida/ FL,2021
Maserati Grecale,Maserati,77900,22,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,81925,5716,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,74895,1572,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,75150,27,Ferrari of Central Florida/ FL,2025
Maserati Grecale,Maserati,81925,2850,Ferrari of Central Florida/ FL,2025
Maserati Levante,Maserati,39895,22455,Ferrari of Central Florida/ FL,2022
Maserati Grecale,Maserati,77900,1731,Ferrari of Central Florida/ FL,2025
Maserati GranTurismo,Maserati,62995,14482,European Exotic Center/ FL,2015
Maserati Grecale,Maserati,182613,7,Ferrari of Atlanta/ GA,2025
Maserati Grecale,Maserati,66990,5,Ferrari of Atlanta/ GA,2025
Maserati GranTurismo Sport,Maserati,49990,25096,Ferrari of Atlanta/ GA,2018
Maserati Levante Modena,Maserati,42990,27135,Ferrari of Atlanta/ GA,2022
Maserati Grecale Trofeo,Maserati,56990,25446,Ferrari of Atlanta/ GA,2023
Maserati Grecale,Maserati,82085,9,Ferrari of Atlanta/ GA,2025
Maserati Levante,Maserati,182613,27109,Ferrari of Atlanta/ GA,2022
Maserati Grecale,Maserati,98505,14530,Ferrari of Atlanta/ GA,2025
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati MC20 Cielo,Maserati,229990,789,Marshall Goldman Motor Sales,2024
Maserati Grecale Trofeo,Maserati,56990,25446,Ferrari of Atlanta,2023
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati GranTurismo,Maserati,57995,29676,Perfect Auto Collection,2018
Maserati Grecale,Maserati,48990,3959,Ferrari of Las Vegas,2024
Maserati Grecale,Maserati,182613,8,Ferrari of Atlanta/ GA,2025
Maserati Grecale,Maserati,182613,8,Ferrari of Atlanta/ GA,2025
Maserati Grecale,Maserati,66995,14,Ferrari of Atlanta/ GA,2025
Maserati Grecale,Maserati,88550,5,Ferrari of Atlanta/ GA,2025
Maserati Ghibli,Maserati,41990,28193,Ferrari of Atlanta/ GA,2022
Maserati Ghibli,Maserati,64990,2664,Ferrari of Atlanta/ GA,2024
Maserati Levante Modena,Maserati,36490,40540,Ferrari of Atlanta/ GA,2022
Maserati Quattroporte S,Maserati,41995,36974,Formula Imports/ NC,2021
Maserati MC20 Cielo,Maserati,234996,6148,McLaren Charlotte/ NC,2023
Maserati MC20,Maserati,182613,802,Foreign Cars Charlotte/ NC,2024
Maserati MC20 Cielo,Maserati,219996,3896,McLaren Charlotte/ NC,2023
Maserati Ghibli,Maserati,46495,17931,Foreign Cars Charlotte/ NC,2022
Maserati Grecale,Maserati,67795,5254,Foreign Cars Charlotte/ NC,2025
Maserati GranCabrio,Maserati,182613,29,Foreign Cars Charlotte/ NC,2026
Maserati Levante,Maserati,79500,19500,Foreign Cars Charlotte/ NC,2024
Maserati Levante,Maserati,37889,33909,Foreign Cars Charlotte/ NC,2022
Maserati Ghibli,Maserati,41995,34275,Foreign Cars Charlotte/ NC,2022
Maserati MC20,Maserati,216795,596,Foreign Cars Charlotte/ NC,2023
Maserati Levante S,Maserati,36995,30175,Foreign Cars Charlotte/ NC,2020
Maserati Grecale,Maserati,182613,15,Foreign Cars Charlotte/ NC,2025
Maserati Grecale,Maserati,182613,75,Foreign Cars Charlotte/ NC,2025
Maserati Levante,Maserati,182613,15,Foreign Cars Charlotte/ NC,2024
Maserati Levante,Maserati,182613,14530,Foreign Cars Charlotte/ NC,2024
Maserati GranTurismo Sport,Maserati,50990,16261,HyperCars/ IN,2018
Maserati Levante,Maserati,28990,58874,HyperCars/ IN,2020
Maserati Levante,Maserati,20990,75146,HyperCars/ IN,2018
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Grecale,Maserati,81550,81,Ferrari of Central Florida,2025
Maserati Levante,Maserati,48900,16463,Miller Motorcars,2022
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Levante,Maserati,182613,30822,Ferrari of Central Florida,2022
Maserati Grecale,Maserati,56990,5605,Ferrari of Las Vegas,2024
Maserati Grecale,Maserati,68775,5,Criswell Automotive/ MD,2024
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Grecale,Maserati,84095,5,Criswell Automotive/ MD,2025
Maserati Grecale,Maserati,85245,5,Criswell Automotive/ MD,2025
Maserati Grecale,Maserati,182613,5,Criswell Automotive/ MD,2025
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Ghibli,Maserati,48998,12106,Criswell Automotive/ MD,2022
Maserati Levante,Maserati,48628,23456,Criswell Automotive/ MD,2019
Maserati Quattroporte Modena,Maserati,52311,20746,Criswell Automotive/ MD,2022
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Levante Modena,Maserati,79998,5,Criswell Automotive/ MD,2023
Maserati Grecale Trofeo,Maserati,119160,5,Criswell Automotive/ MD,2025
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Grecale,Maserati,85245,5,Criswell Automotive/ MD,2025
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Quattroporte Modena,Maserati,54777,11790,Criswell Automotive/ MD,2022
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Grecale,Maserati,83080,5,Criswell Automotive/ MD,2025
Maserati Grecale,Maserati,72998,5,Criswell Automotive/ MD,2024
Maserati Levante,Maserati,77887,5,Criswell Automotive/ MD,2024
Maserati Levante,Maserati,79895,5,Criswell Automotive/ MD,2024
Maserati Levante Modena,Maserati,97854,5,Criswell Automotive/ MD,2024
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Levante,Maserati,39239,31576,Criswell Automotive/ MD,2022
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Grecale,Maserati,77900,1731,Ferrari of Central Florida,2025
Maserati Levante,Maserati,182613,30822,Ferrari of Central Florida,2022
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Levante,Maserati,79895,5,Criswell Automotive,2024
Maserati MC20 Cielo,Maserati,182613,1717,Patton Motors,2023
Maserati Levante Modena,Maserati,39998,37248,Criswell Automotive/ MD,2022
Maserati Levante S,Maserati,41901,32577,Criswell Automotive/ MD,2021
Maserati Grecale,Maserati,85245,5,Criswell Automotive/ MD,2025
Maserati Grecale,Maserati,87030,5,Criswell Automotive/ MD,2025
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Ghibli,Maserati,65887,5,Criswell Automotive/ MD,2023
Maserati Levante Modena,Maserati,88687,5,Criswell Automotive/ MD,2024
Maserati Levante,Maserati,79566,5,Criswell Automotive/ MD,2024
Maserati Ghibli,Maserati,83566,5,Criswell Automotive/ MD,2024
Maserati Levante Trofeo,Maserati,128856,5,Criswell Automotive/ MD,2024
Maserati Levante,Maserati,38494,30274,Criswell Automotive/ MD,2022
Maserati Ghibli,Maserati,27991,25738,ABZ Motors/ TX,2020
Maserati MC20,Maserati,179900,7086,McLaren Philadelphia/ PA,2023
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery/ OH,2023
Maserati GranTurismo,Maserati,57995,29676,Perfect Auto Collection/ OH,2018
Maserati MC20,Maserati,189890,2526,Cavallino Rosso St. Louis/ MO,2023
Maserati Levante,Maserati,43450,23457,Marshall Goldman Motor Sales/ OH,2022
Maserati GranTurismo S,Maserati,35990,18518,Marshall Goldman Motor Sales/ OH,2012
Maserati MC20 Cielo,Maserati,229990,789,Marshall Goldman Motor Sales/ OH,2024
Maserati Grecale Folgore,Maserati,100000,93,Cleveland Motorsports/ OH,2025
Maserati Grecale,Maserati,78225,4801,Cleveland Motorsports/ OH,2024
Maserati Grecale Trofeo,Maserati,110837,6182,Cleveland Motorsports/ OH,2024
Maserati GranTurismo,Maserati,158015,39,Cleveland Motorsports/ OH,2026
Maserati Levante Modena,Maserati,45000,25225,Cleveland Motorsports/ OH,2022
Maserati Grecale,Maserati,51500,5955,Cleveland Motorsports/ OH,2024
Maserati Grecale,Maserati,52000,6385,Cleveland Motorsports/ OH,2024
Maserati Grecale,Maserati,85000,7595,Cleveland Motorsports/ OH,2024
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati GranTurismo Sport,Maserati,43990,11792,Ferrari of Las Vegas,2013
Maserati Grecale,Maserati,87775,20,Ferrari of Fort Lauderdale,2025
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Levante Modena,Maserati,36490,40540,Ferrari of Atlanta,2022
Maserati Ghibli,Maserati,44950,15620,Park Place Ltd.,2022
Maserati GranCabrio,Maserati,195000,235,Cleveland Motorsports/ OH,2024
Maserati Grecale,Maserati,50000,7044,Cleveland Motorsports/ OH,2024
Maserati Grecale Trofeo,Maserati,112042,4578,Cleveland Motorsports/ OH,2024
Maserati Mistral,Maserati,67500,14530,Gullwing Motor Cars/ NY,1967
Maserati Mistral,Maserati,495000,14530,Gullwing Motor Cars/ NY,1964
Maserati Ghibli,Maserati,89500,14530,Gullwing Motor Cars/ NY,1970
Maserati Sebring,Maserati,129500,35985,Gullwing Motor Cars/ NY,1966
Maserati GT,Maserati,595000,14530,Gullwing Motor Cars/ NY,1960
Maserati Mistral,Maserati,67500,14530,Gullwing Motor Cars/ NY,1968
Maserati Sebring,Maserati,119500,14530,Gullwing Motor Cars/ NY,1964
Maserati Ghibli,Maserati,139500,14530,Gullwing Motor Cars/ NY,1967
Maserati Bora,Maserati,119500,14530,Gullwing Motor Cars/ NY,1974
Maserati Mistral,Maserati,56500,14530,Gullwing Motor Cars/ NY,1967
Maserati GTi,Maserati,169500,14530,Gullwing Motor Cars/ NY,1964
Maserati Grecale,Maserati,91850,14,Gold Coast Maserati - Alfa Romeo/ NY,2024
Maserati GranTurismo Trofeo,Maserati,182613,4610,Gold Coast Maserati - Alfa Romeo/ NY,2024
Maserati MC20 Cielo,Maserati,219900,717,Ferrari of Long Island/ NY,2023
Maserati MC20,Maserati,185000,5277,Ferrari of Long Island/ NY,2023
Maserati MC20,Maserati,175500,1521,Ferrari of Long Island/ NY,2022
Maserati Ghibli,Maserati,46400,10570,Ferrari of Long Island/ NY,2022
Maserati GranTurismo,Maserati,65900,7196,Tactical Fleet/ TX,2018
Maserati MC20,Maserati,234900,689,Tactical Fleet/ TX,2024
Maserati Ghibli,Maserati,49900,8610,Ferrari Dallas/ TX,2023
Maserati Ghibli,Maserati,49900,18108,Ferrari Dallas/ TX,2023
Maserati Ghibli,Maserati,59995,14812,Ferrari Dallas/ TX,2023
Maserati Grecale,Maserati,90385,8,Ferrari Dallas/ TX,2025
Maserati Grecale,Maserati,76400,20,Ferrari Dallas/ TX,2025
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati GranTurismo Trofeo,Maserati,98500,12991,Ferrari Silicon Valley,2024
Maserati Grecale,Maserati,68775,5,Criswell Automotive,2024
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Ghibli,Maserati,49900,18108,Ferrari Dallas,2023
Maserati Grecale,Maserati,69896,4410,Miller Motorcars,2025
Maserati Levante,Maserati,49900,26,Ferrari Dallas/ TX,2023
Maserati Ghibli,Maserati,49900,17208,Ferrari Dallas/ TX,2023
Maserati Grecale,Maserati,91535,8,Ferrari Dallas/ TX,2025
Maserati Grecale,Maserati,90955,8,Ferrari Dallas/ TX,2025
Maserati Grecale,Maserati,66883,4980,Miller Motorcars/ CT,2025
Maserati Grecale,Maserati,71536,4350,Miller Motorcars/ CT,2025
Maserati Levante,Maserati,29900,37592,Miller Motorcars/ CT,2019
Maserati Ghibli,Maserati,47900,19902,Miller Motorcars/ CT,2022
Maserati GranCabrio,Maserati,169655,5,Miller Motorcars/ CT,2026
Maserati Levante Modena,Maserati,48900,27955,Miller Motorcars/ CT,2022
Maserati GranCabrio,Maserati,165455,5,Miller Motorcars/ CT,2026
Maserati Grecale Folgore,Maserati,79454,187,Miller Motorcars/ CT,2025
Maserati Grecale,Maserati,95755,45,Miller Motorcars/ CT,2025
Maserati Grecale,Maserati,84479,50,Miller Motorcars/ CT,2025
Maserati Grecale,Maserati,83982,50,Miller Motorcars/ CT,2025
Maserati Levante,Maserati,48900,16463,Miller Motorcars/ CT,2022
Maserati Grecale,Maserati,96905,40,Miller Motorcars/ CT,2025
Maserati Grecale,Maserati,95755,40,Miller Motorcars/ CT,2025
Maserati Grecale,Maserati,95755,40,Miller Motorcars/ CT,2025
Maserati GranCabrio,Maserati,165455,5,Miller Motorcars/ CT,2026
Maserati Levante,Maserati,38900,42655,Miller Motorcars/ CT,2022
Maserati MC20 Cielo,Maserati,205900,3417,Miller Motorcars/ CT,2023
Maserati Levante,Maserati,48900,20318,Miller Motorcars/ CT,2022
Maserati Levante F Tributo,Maserati,59900,4683,Miller Motorcars/ CT,2023
Maserati MC20,Maserati,169900,3726,Miller Motorcars/ CT,2022
Maserati Ghibli,Maserati,45900,23603,Miller Motorcars/ CT,2022
Maserati Grecale,Maserati,87895,40,Miller Motorcars/ CT,2025
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Ghibli,Maserati,49800,15411,Ferrari of Fort Lauderdale,2023
Maserati Grecale,Maserati,182613,8,Ferrari of Atlanta,2025
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Grecale,Maserati,85000,7595,Cleveland Motorsports,2024
Maserati Ghibli,Maserati,83566,5,Criswell Automotive,2024
Maserati Ghibli,Maserati,45900,23603,Miller Motorcars/ CT,2022
Maserati Grecale,Maserati,87895,40,Miller Motorcars/ CT,2025
Maserati Grecale,Maserati,86745,40,Miller Motorcars/ CT,2025
Maserati GranCabrio,Maserati,204195,5,Miller Motorcars/ CT,2026
Maserati Grecale,Maserati,80239,45,Miller Motorcars/ CT,2025
Maserati Levante,Maserati,41900,37585,Miller Motorcars/ CT,2022
Maserati Levante,Maserati,42900,36987,Miller Motorcars/ CT,2022
Maserati Ghibli,Maserati,49900,9940,Miller Motorcars/ CT,2022
Maserati Grecale,Maserati,85501,50,Miller Motorcars/ CT,2025
Maserati Grecale,Maserati,85501,45,Miller Motorcars/ CT,2025
Maserati Quattroporte Modena,Maserati,34990,40342,One Legacy Motors/ TX,2022
Maserati GranTurismo MC,Maserati,82890,1695,Earth MotorCars/ TX,2018
Maserati MC20,Maserati,179920,3144,Earth MotorCars/ TX,2022
Maserati Levante S,Maserati,37990,20447,One Legacy Motors/ TX,2020
Maserati GranTurismo Sport,Maserati,60998,25620,Earth MotorCars/ TX,2018
Maserati GT,Maserati,224995,46230,The Cultivated Collector/ CT,1960
Maserati GranTurismo MC,Maserati,49995,11753,Private seller,2014
Maserati Mistral,Maserati,535000,14530,Broad Arrow Private Sales/ MI,1964
Maserati MC20,Maserati,172906,6210,Mark Motors/ TX,2022
Maserati Grecale,Maserati,92355,12,Exotic Motorcars of Michigan/ MI,2025
Maserati Levante Modena,Maserati,48999,22156,Exotic Motorcars of Michigan/ MI,2022
Maserati Grecale,Maserati,52999,21540,Exotic Motorcars of Michigan/ MI,2023
Maserati Levante Modena,Maserati,48999,23097,Exotic Motorcars of Michigan/ MI,2022
Maserati Grecale Folgore,Maserati,122655,29,Exotic Motorcars of Michigan/ MI,2025
Maserati Grecale Folgore,Maserati,121855,57,Exotic Motorcars of Michigan/ MI,2025
Maserati Ghibli,Maserati,74999,3388,Exotic Motorcars of Michigan/ MI,2024
Maserati Levante,Maserati,47999,15188,Exotic Motorcars of Michigan/ MI,2022
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Sebring,Maserati,119500,14530,Gullwing Motor Cars,1964
Maserati MC20 Cielo,Maserati,229788,1750,Vegas Auto Gallery,2023
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Quattroporte Modena,Maserati,59999,1905,Exotic Motorcars of Michigan,2022
Maserati Ghibli Trofeo,Maserati,54950,41756,Park Place Ltd.,2022
Maserati GranCabrio,Maserati,167125,29,Exotic Motorcars of Michigan/ MI,2026
Maserati Grecale,Maserati,87645,16,Exotic Motorcars of Michigan/ MI,2025
Maserati Grecale,Maserati,44999,11375,Exotic Motorcars of Michigan/ MI,2024
Maserati Quattroporte Modena,Maserati,59999,1905,Exotic Motorcars of Michigan/ MI,2022
Maserati Grecale,Maserati,75340,53,Exotic Motorcars of Michigan/ MI,2024
Maserati Grecale Folgore,Maserati,118445,32,Exotic Motorcars of Michigan/ MI,2025
Maserati Levante,Maserati,45999,16458,Exotic Motorcars of Michigan/ MI,2022
Maserati Grecale,Maserati,52999,19886,Exotic Motorcars of Michigan/ MI,2023
Maserati Ghibli,Maserati,48999,20408,Exotic Motorcars of Michigan/ MI,2022
Maserati MC20,Maserati,179999,2036,Continental AutoSports/ IL,2022
Maserati GranTurismo Sport,Maserati,36981,38305,Mike Ward Auto/ Colorado,2013
Maserati Levante,Maserati,59990,1817,Mike Ward Auto/ Colorado,2024
Maserati Levante Modena,Maserati,45990,4573,Mike Ward Auto/ Colorado,2022
Maserati Levante Modena,Maserati,62991,26775,Mike Ward Auto/ Colorado,2022
Maserati MC20,Maserati,209991,154,McLaren Scottsdale/ AZ,2023
Maserati MC20 Cielo,Maserati,264900,640,Scottsdale Ferrari/ AZ,2024
Maserati GranTurismo Sport,Maserati,54900,10681,Scottsdale Ferrari/ AZ,2017
Maserati MC20 Cielo,Maserati,229788,1750,Vegas Auto Gallery/ NV,2023
Maserati Quattroporte Trofeo,Maserati,59499,41555,Vegas Auto Gallery/ NV,2021
Maserati GranTurismo,Maserati,94900,10100,Vegas Auto Gallery/ NV,2024
Maserati Grecale,Maserati,48990,3959,Ferrari of Las Vegas/ NV,2024
Maserati Ghibli,Maserati,27990,2993,Ferrari of Las Vegas/ NV,2018
Maserati MC20,Maserati,194990,2325,Ferrari of Las Vegas/ NV,2023
Maserati Grecale,Maserati,56990,5605,Ferrari of Las Vegas/ NV,2024
Maserati Grecale Folgore,Maserati,79990,69,Ferrari of Las Vegas/ NV,2025
Maserati GranTurismo Sport,Maserati,43990,11792,Ferrari of Las Vegas/ NV,2013
Maserati GranTurismo,Maserati,44490,32823,Ferrari of Las Vegas/ NV,2017
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Levante Modena,Maserati,97854,5,Criswell Automotive,2024
Maserati GranTurismo,Maserati,156345,34,Ferrari of Fort Lauderdale,2026
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Grecale Folgore,Maserati,100000,93,Cleveland Motorsports,2025
Maserati GranTurismo S,Maserati,35990,18518,Marshall Goldman Motor Sales,2012
Maserati Ghibli,Maserati,67451,127,Ferrari of Las Vegas/ NV,2023
Maserati Levante Modena,Maserati,119245,95,Ferrari of Las Vegas/ NV,2024
Maserati Quattroporte Modena,Maserati,37490,30793,Ferrari of Las Vegas/ NV,2022
Maserati MC20,Maserati,229990,785,Ferrari of Las Vegas/ NV,2023
Maserati GranTurismo Sport,Maserati,182613,18962,Ferrari of Las Vegas/ NV,2013
Maserati Ghibli,Maserati,65451,47,Ferrari of Las Vegas/ NV,2023
Maserati Levante,Maserati,98045,92,Ferrari of Las Vegas/ NV,2023
Maserati MC20,Maserati,169990,5673,Ferrari of Las Vegas/ NV,2022
Maserati GranTurismo,Maserati,79990,19145,Ferrari of Las Vegas/ NV,2024
Maserati Levante,Maserati,182613,67000,EUROCAR/ CA,2017
Maserati Levante,Maserati,27990,22924,Marshall Goldman Newport Beach/ CA,2017
Maserati Quattroporte S,Maserati,33997,27225,San Jose Mitsubishi/ CA,2019
Maserati GranTurismo Trofeo,Maserati,98500,12991,Ferrari Silicon Valley/ CA,2024
Maserati GranTurismo Sport,Maserati,34991,32928,San Francisco Exotic Cars/ CA,2014
Maserati Levante,Maserati,45990,55109,San Francisco Exotic Cars/ CA,2021
Maserati Quattroporte Trofeo,Maserati,79990,12354,San Francisco Exotic Cars/ CA,2022
Maserati Grecale,Maserati,91065,20,San Francisco Exotic Cars/ CA,2025
Maserati GranTurismo MC,Maserati,62999,29455,Heritage Cars/ WA,2013
Maserati GranTurismo,Maserati,57990,26271,Heritage Cars/ WA,2012
Maserati Levante,Maserati,64950,10628,Park Place Ltd./ WA,2022
Maserati GranTurismo Sport,Maserati,44950,47751,Park Place Ltd./ WA,2016
Maserati Ghibli Trofeo,Maserati,54950,41756,Park Place Ltd./ WA,2022
Maserati Levante Modena,Maserati,64950,26302,Park Place Ltd./ WA,2022
Maserati Quattroporte Trofeo,Maserati,69950,37316,Park Place Ltd./ WA,2021
Maserati Levante,Maserati,79950,543,Park Place Ltd./ WA,2024
Maserati Ghibli,Maserati,44950,15620,Park Place Ltd./ WA,2022
Maserati Ghibli Trofeo,Maserati,74950,10810,Park Place Ltd./ WA,2022
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Ghibli,Maserati,59995,14812,Ferrari Dallas,2023
Maserati Grecale,Maserati,77900,14,Ferrari of Central Florida,2025
Maserati MC20,Maserati,210000,3519,Sarchione Auto Gallery,2023
Maserati Levante,Maserati,49900,26,Ferrari Dallas,2023
Maserati Ghibli,Maserati,182613,62988,SOMO,1971
Maserati MC20,Maserati,182613,53,Ferrari of Seattle/ WA,2024
Maserati GranTurismo,Maserati,14988,83970,Velocity Honolulu/ HI,2012
Maserati MC20,Maserati,177786,147,John Scotti Automotive LTEE/ QC,2022
Maserati Ghibli,Maserati,182613,14530,RM Sothebys/ ON,1968
Mercedes-Benz 280 SL,Mercedes-Benz,182613,14530,Silver Arrow Cars Ltd,1969
Mercedes-Benz Metris,Mercedes-Benz,182613,1100,FariCars,2023
Mercedes-Benz Metris,Mercedes-Benz,252040,1500,FariCars,2023
Mercedes-Benz Metris,Mercedes-Benz,139000,5400,FariCars,2023
Mercedes-Benz Sprinter,Mercedes-Benz,180540,33,Dave Arbogast Luxury Vehicles,2026
Mercedes-Benz Metris,Mercedes-Benz,252040,1500,FariCars,2023
