Car Name,Price,Year,Mileage,Dealer
FERRARI ROMA SPIDER,"£249,950",2024,138,ROMANS INTERNATIONAL
FERRARI SF90 SPIDER FOR SALE,"£399,995",2022,"2,503",AMARI SUPERCARS
FERRARI SF90,"£374,995",2023,380,THE OCTANE COLLECTION
2022/71 FERRARI 812 GTS,"£309,950",2022,"2,500",TOM HARTLEY
FERRARI SF90 SPIDER ASSETTO FIORANO,"£349,950",2022,"6,625",JOE MACARI
FERRARI 488 PISTA,"£304,950",2019,"4,103",ROMANS INTERNATIONAL
FERRARI ROMA SPIDER,"£224,950",2024,65,JOE MACARI
2009/09 FERRARI CALIFORNIA V8,"£54,950",2009,"41,000",TOM HARTLEY
FERRARI PORTOFINO T V8,"£122,990",2018,"8,000",VAS VEHICLE SOLUTIONS LTD
FERRARI CALIFORNIA ULEZ,"£54,990",2010,"39,500",VAS VEHICLE SOLUTIONS LTD
FERRARI 599 GTB FIORANO V12,"£94,990",2010,"13,500",VAS VEHICLE SOLUTIONS LTD
FERRARI 488 T V8 GTB ULEZ,"£147,490",2017,"15,800",VAS VEHICLE SOLUTIONS LTD
2022/72 FERRARI 812 COMPETIZIONE,"£1,100,000",2022,"2,000",TOM HARTLEY
FERRARI PUROSANGUE,"£359,950",2024,"4,344",ROMANS INTERNATIONAL
FERRARI 296 GTS FOR SALE,"£259,995",2024,"2,874",AMARI SUPERCARS
FERRARI 812 COMPETIZIONE,"£1,150,000",2022,389,ROMANS INTERNATIONAL
FERRARI FF,"£99,950",2014,"37,650",JOE MACARI
FERRARI CALIFORNIA 30,"£74,950",2013,"7,199",ROMANS INTERNATIONAL
FERRARI 488 SPIDER,"£184,950",2018,"3,938",ROMANS INTERNATIONAL
FERRARI F430 SPIDER F1,"£109,950",2008,"3,380",TOP 555
FERRARI 488 PISTA,"£314,950",2019,"1,915",ROMANS INTERNATIONAL
FERRARI 488 PISTA,"£324,950",2019,900,TOP 555
FERRARI SF90 SPIDER,"£419,950",2023,714,ROMANS INTERNATIONAL
FERRARI 599 GTB 60F1 ALONSO EDITION FOR SALE,"£299,995",2012,"4,885",AMARI SUPERCARS
1957 FERRARI 250 GT COUPE BOANO,"£950,000",1957,0,SUPERVETTURA
2024 FERRARI 812 COMPETIZIONE,"£1,250,000",2024,200,SUPERVETTURA
2000/W FERRARI 550 MARANELLO DELIVERY MILEAGE UNREGISTERED,POA,2000,80,TOM HARTLEY
1972/60 FERRARI 365 GTB/4 DAYTONA SPYDER CONVERSION,"£649,950",1972,"10,000",TOM HARTLEY
2009/09 FERRARI 430 SCUDERIA SPIDER 16M,"£394,950",2009,"4,000",TOM HARTLEY
2022/72 FERRARI 812 COMPETIZIONE,"£1,100,000",2022,"2,000",TOM HARTLEY
1975/~ FERRARI DINO 246 GT,"£299,950",1975,"33,000",TOM HARTLEY
FERRARI 488 PISTA,"£269,950",2019,"17,493",ROMANS INTERNATIONAL
FERRARI 488 SPIDER,"£179,950",2016,"4,515",JOE MACARI
FERRARI 812 SUPERFAST,"£229,950",2019,"2,000",JOE MACARI
1998/S FERRARI 355 F1 SPIDER,POA,1998,"3,400",TOM HARTLEY
2018/18 FERRARI 488 SPIDER,"£179,950",2018,"5,700",TOM HARTLEY
FERRARI 458 ITALIA,"£129,990",2012,"24,951",SIMON FURLONGER
2014/64 FERRARI CALIFORNIA T,"£84,950",2014,"7,000",TOM HARTLEY
FERRARI 360 SPIDER – MANUAL TRANSMISSION,"£69,990",2002,"16,000",SIMON FURLONGER
FERRARI 456M GT,"£89,990",2003,"14,350",SIMON FURLONGER
FERRARI 550 MARANELLO,"£89,990",1999,"40,850",SIMON FURLONGER
FERRARI 612 ‘ONE-TO-ONE’,"£104,990",2009,"7,350",SIMON FURLONGER
FERRARI 430 SCUDERIA – UK SUPPLIED,"£209,990",2007,"5,699",SIMON FURLONGER
FERRARI 365 GT 2+2 – CLASSICHE CERTIFICATION INCLUDED,"£219,990",1969,"70,000",SIMON FURLONGER
FERRARI 550 BARCHETTA – CLASSICHE CERTIFICATION,"£284,990",2001,"12,448",SIMON FURLONGER
FERRARI 365 GT4 BB – LONDON MOTOR SHOW CAR – CLASSICHE CERTIFICATION,"£339,990",1975,"43,001",SIMON FURLONGER
FERRARI DINO 246 GT,"£449,990",1972,"52,000",SIMON FURLONGER
FERRARI 365 GTB/4 ‘DAYTONA’ – CLASSICHE CERTIFICATION,"£674,990",1969,"41,300",SIMON FURLONGER
FERRARI 250 GT LUSSO – CLASSICHE CERTIFICATION,"£1,499,990",1963,0,SIMON FURLONGER
FERRARI 275 GTB – 1 OF 8 RHD WITH TORQUE TUBE – CLASSICHE CERTIFICATION,"£2,249,990",1966,"19,514",SIMON FURLONGER
FERRARI F40 – EU SUPPLIED – CLASSICHE CERTIFIED,POA,1989,"6,395",SIMON FURLONGER
FERRARI 458 ITALIA,"£129,950",2012,"16,250",JOE MACARI
FERRARI GTC4LUSSO T V8,"£125,950",2019,"13,986",SCUDERIA PRESTIGE
FERRARI ROMA T V8,"£164,500",2023,321,SCUDERIA PRESTIGE
FERRARI GTC4LUSSO T V8,"£129,950",2018,"14,962",SCUDERIA PRESTIGE
FERRARI 812 GTS V12 ULEZ,"£289,990",2020,"7,900",VAS VEHICLE SOLUTIONS LTD
FERRARI 458 SPECIALE,"£335,000",2016,"4,216",SCUDERIA PRESTIGE
FERRARI ROMA SPIDER,"£218,500",2025,49,SCUDERIA PRESTIGE
FERRARI FF V12,"£87,950",2012,"37,685",SCUDERIA PRESTIGE
FERRARI 612 SCAGLIETTI F1,"£59,995",2005,"66,748",SCUDERIA PRESTIGE
FERRARI PUROSANGUE,"£389,950",2024,"2,048",ROMANS INTERNATIONAL
FERRARI 458 SPECIALE,"£364,950",2015,"4,590",TOP 555
2005/55 FERRARI F430 SPIDER,"£79,950",2005,"20,000",TOM HARTLEY
FERRARI 458 SPIDER,"£134,950",2013,"17,620",TOP 555
FERRARI ROMA SPIDER,"£214,950",2024,"1,100",TOP 555
FERRARI 296 GTB ASSETTO FIORANO - ATELIER CAR,"£232,950",2023,"2,170",TOP 555
FERRARI 812 SUPERFAST,"£234,950",2019,"6,500",TOP 555
FERRARI 488 GTB TAILOR MADE,"£189,950",2017,"4,729",ROMANS INTERNATIONAL
2023/23 FERRARI 296 GTB VAT QUALIFYING,"£204,950",2023,"8,700",TOM HARTLEY
1995/M FERRARI 512 M,"£299,950",1995,"10,500",TOM HARTLEY
FERRARI PUROSANGUE,"£375,000",2024,"2,168",ROMANS INTERNATIONAL
FERRARI PUROSANGUE,"£374,950",2024,920,JOE MACARI
2015 FERRARI LAFERRARI,POA,2015,998,EUROPEAN PRESTIGE
FERRARI DAYTONA SP3,POA,2023,"2,500",JOE MACARI
FERRARI 12CILINDRI,"£434,950",2025,51,JOE MACARI
FERRARI LAFERRARI,POA,2014,"2,700",JOE MACARI
2019 ROLLS ROYCE CULLINAN BY ONYX CONCEPT,POA,2019,671,DOURADO LUXURY CAR
FERRARI 12CILINDRI FOR SALE,"£458,995",2025,68,AMARI SUPERCARS
FERRARI SF90 STRADALE,"£299,950",2021,"2,182",ROMANS INTERNATIONAL
FERRARI 275 GTS LHD,POA,1965,"2,350",JOE MACARI
FERRARI F8 TRIBUTO T V8,"£222,990",2021,"6,500",VAS VEHICLE SOLUTIONS LTD
FERRARI 328 GTS,"£99,950",1989,"41,500",JOE MACARI
FERRARI 488 PISTA FOR SALE,"£374,995",2018,595,AMARI SUPERCARS
FERRARI 488 GTB,"£154,950",2017,"11,984",ROMANS INTERNATIONAL
FERRARI 458 SPECIALE,"£395,000",2015,796,ROMANS INTERNATIONAL
FERRARI GTC4 LUSSO T,"£129,950",2017,"12,250",JOE MACARI
FERRARI 275 GTB 6C LHD,POA,1966,"1,175",JOE MACARI
FERRARI 365 GTB/4 DAYTONA LHD,POA,1969,"5,500",JOE MACARI
FERRARI DINO 246 GT LHD,"£394,950",1972,"40,650",JOE MACARI
FERRARI GTC4 LUSSO T,"£119,950",2018,"22,728",ROMANS INTERNATIONAL
FERRARI PORTOFINO M,"£167,950",2022,"2,388",ROMANS INTERNATIONAL
FERRARI 296 GTB,"£214,950",2024,"1,228",ROMANS INTERNATIONAL
FERRARI ROMA SPIDER,"£249,950",2024,87,ROMANS INTERNATIONAL
FERRARI 812 GTS,"£294,950",2021,"9,621",ROMANS INTERNATIONAL
FERRARI 458 SPECIALE,POA,2015,"1,735",ROMANS INTERNATIONAL
FERRARI 458 SPECIALE,POA,2015,"2,623",ROMANS INTERNATIONAL
FERRARI PUROSANGUE,POA,2024,762,ROMANS INTERNATIONAL
FERRARI PUROSANGUE,"£384,950",2024,951,ROMANS INTERNATIONAL
FERRARI F430 SCUDERIA SPIDER 16M,POA,2010,"4,531",ROMANS INTERNATIONAL
1980/~ FERRARI DINO 246 GT,"£299,950",1980,"33,000",TOM HARTLEY
FERRARI 599 GTO,"£625,000",2011,"3,078",ROMANS INTERNATIONAL
FERRARI 599 GTO,POA,2010,"2,643",ROMANS INTERNATIONAL
2003/03 FERRARI 360 MODENA 6-SPEED MANUAL 900 MILES,"£129,950",2003,900,TOM HARTLEY
FERRARI 458 SPECIALE APERTA,"£729,995",2015,"10,437",THE OCTANE COLLECTION
FERRARI F430 V8 ULEZ,"£119,990",2006,"20,000",VAS VEHICLE SOLUTIONS LTD
FERRARI 458 SPIDER ULEZ,"£139,990",2012,"18,800",VAS VEHICLE SOLUTIONS LTD
FERRARI 250 LUSSO BERLINETTA,"£1,594,995",1964,"87,960",THE OCTANE COLLECTION
FERRARI 599 GTB,"£124,995",2010,"7,125",THE OCTANE COLLECTION
FERRARI 488 SPIDER,"£184,995",2019,"1,690",THE OCTANE COLLECTION
FERRARI 512 BBI,"£249,995",1984,600,THE OCTANE COLLECTION
FERRARI 430 SPIDER F1 FOR SALE,"£110,995",2007,"10,364",AMARI SUPERCARS
FERRARI ENZO,POA,2004,"9,400",THE OCTANE COLLECTION
FERRARI 488 PISTA SPIDER,"£374,995",2020,"13,780",THE OCTANE COLLECTION
FERRARI 488 GTB FOR SALE,"£137,500",2017,"12,643",AMARI SUPERCARS
FERRARI PUROSANGUE FOR SALE,"£379,995",2024,"3,947",AMARI SUPERCARS
FERRARI 812 SUPERFAST FOR SALE,"£219,995",2019,"15,653",AMARI SUPERCARS
FERRARI 12CILINDRI FOR SALE,"£458,995",2025,158,AMARI SUPERCARS
FERRARI DINO 246 GT,"£394,950",1972,"40,650",JOE MACARI
FERRARI 458 ITALIA,"£129,950",2012,"23,915",JOE MACARI
2024 LAMBORGHINI URUS S,"د.إ1,350,000",2024,34,DOURADO LUXURY CAR
2024/74 FERRARI PUROSANGUE V12,"£379,950",2024,400,TOM HARTLEY
2024/74 FERRARI ROMA SPIDER VAT QUALIFYING,"£239,950",2024,50,TOM HARTLEY
FERRARI 365 GTC/4 LHD,"£239,950",1972,"15,000",JOE MACARI
FERRARI 365 GTB/4 DAYTONA,"£599,950",1973,"42,225",JOE MACARI
FERRARI 365 GTB/4 DAYTONA,POA,1969,"5,500",JOE MACARI
LAMBORGHINI MIURA P400,POA,1968,"8,850",JOE MACARI
"FERRARI 599 5.9L GTB F1 10,700 MILES ONLY","£89,950",2007,"10,700",SLADES GARAGE
FERRARI F355 3.5L SPIDER MANUAL RHD,"£89,950",1997,"26,000",SLADES GARAGE
FERRARI FF 6.3 V12 COUPE 3DR PETROL F1 DCT 4WD EURO 5 (S/S) (660 BHP),"£89,950",2012,"40,548",SLADES GARAGE
"FERRARI 550 5.5 MARANELLO COUPE 2DR PETROL MANUAL (558 G/KM, 485 BHP)","£94,950",1998,"36,734",SLADES GARAGE
FERRARI 550 5.5L MARANELLO RHD,"£94,950",1997,"36,000",SLADES GARAGE
FERRARI F355 3.5L BERLINETTA 2.7 SPEC RHD MANUAL,"£110,950",1994,"37,650",SLADES GARAGE
FERRARI F355 3.5L BERLINETTA MANUAL RHD,POA,1996,"44,000",SLADES GARAGE
FERRARI 458 4.5L ITALIA COUPE 2DR PETROL F1 DCT EURO 5 (570 BHP),"£129,950",2010,"14,500",SLADES GARAGE
FERRARI 488 3.9L V8 GTB COUPE 2DR PETROL F1 DCT EURO 6 (S/S) (670 PS),"£142,950",2016,"20,150",SLADES GARAGE
FERRARI GTC4LUSSO 6.3L V12 COUPE 2DR PETROL F1 DCT 4WD EURO 6 (S/S) (690 PS),"£149,950",2018,"29,280",SLADES GARAGE
FERRARI 575M 5.7L MARANELLO MANUAL 1 OF 69 UK RHD,"£169,950",2002,"26,500",SLADES GARAGE
FERRARI F355 3.5L BERLINETTA RHD MANUAL 11K CARBON RACE SEATS,"£169,950",1998,"11,000",SLADES GARAGE
FERRARI F355 3.5L BERLINETTA RHD MANUAL 7K CARBON RACE SEATS,"£169,950",1998,"7,863",SLADES GARAGE
FERRARI F12BERLINETTA 6.3L V12 COUPE 2DR PETROL F1 DCT EURO 5 (S/S) (740 PS),"£194,950",2016,"11,052",SLADES GARAGE
FERRARI 348 GT COMPETIZIONE,"£249,950",27675,"27,675",JOE MACARI
FERRARI PUROSANGUE FOR SALE,"£429,995",2024,"2,430",AMARI SUPERCARS
FERRARI F430 SCUDERIA SPIDER 16M - 1 OF 48 UK RHD FOR SALE,POA,2009,"9,230",AMARI SUPERCARS
1965 FERRARI 275 GTB ALLOY,POA,1965,0,TOM HARTLEY JNR
2024 FERRARI PUROSANGUE,"£365,000",2024,"1,417",TOM HARTLEY JNR
2022 FERRARI SF90 SPIDER ASSETTO FIORANO,"£399,500",2022,"1,415",TOM HARTLEY JNR
2016 FERRARI F12TDF,"£795,000",2016,"5,363",TOM HARTLEY JNR
1972 FERRARI DINO 246 GT,"£299,500",1972,"42,161",TOM HARTLEY JNR
LAMBORGHINI COUNTACH ANNIVERSARY FOR SALE,"£699,995",1995,"7,000",AMARI SUPERCARS
FERRARI 458 ITALIA ULEZ,"£109,990",2012,"26,000",VAS VEHICLE SOLUTIONS LTD
FERRARI 812 SUPERFAST,"£219,950",2019,"2,600",JOE MACARI
FERRARI 296 GTB FOR SALE,"£204,995",2023,"1,629",AMARI SUPERCARS
2025 ROLLS ROYCE CULLINAN SERIES II,"د.إ2,070,000",2025,37,DOURADO LUXURY CAR
FERRARI F430 SCUDERIA SPIDER 16M 1 OF 40 UK RHD FOR SALE,"£399,995",2009,"6,500",AMARI SUPERCARS
2024 LAMBORGHINI REVUELTO,"£649,995",2024,73,EUROPEAN PRESTIGE
2024 BENTLEY BENTAYGA S BY ONYX CONCEPT,"د.إ1,525,000",2024,30,DOURADO LUXURY CAR
LAMBORGHINI AVENTADOR S LP 740-4 ROADSTER,"£269,950",2019,"10,900",ROMANS INTERNATIONAL
LAMBORGHINI AVENTADOR S ROADSTER LP 740-4 FOR SALE,"£259,995",2018,"7,708",AMARI SUPERCARS
LAMBORGHINI URUS V8,"£163,990",2021,"28,000",VAS VEHICLE SOLUTIONS LTD
2016 LAMBORGHINI AVENTADOR SV,"£299,995",2016,"13,298",EUROPEAN PRESTIGE
2023/23 LAMBORGHINI HURACAN LP640-2 TECNICA,"£219,950",2023,"1,200",TOM HARTLEY
2019/69 LAMBORGHINI AVENTADOR LP770-4 SVJ 1 OWNER,"£499,950",2019,"3,500",TOM HARTLEY
2023 LAMBORGHINI URUS PERFORMANTE,"£249,995",2023,"11,832",EUROPEAN PRESTIGE
2022/22 LAMBORGHINI HURACAN LP610-2 EVO,"£194,950",2022,"4,000",TOM HARTLEY
LAMBORGHINI AVENTADOR V12 LP 700-4 ULEZ,"£174,990",2015,"30,000",VAS VEHICLE SOLUTIONS LTD
LAMBORGHINI AVENTADOR LP750-4 SV,"£289,990",2016,"15,000",VAS VEHICLE SOLUTIONS LTD
2024 LAMBORGHINI URUS PERFORMANTE,POA,2024,"1,027",EUROPEAN PRESTIGE
LAMBORGHINI AVENTADOR SVJ ROADSTER FOR SALE,POA,2020,800,AMARI SUPERCARS
